city_id,city,country,date_time,latitude,longitude,temperature (F),humidity (%),cloudiness (%),wind speed (mph)
2012530,Zhigansk,RU,1597379706,66.77,123.37,52.56,57,58,21.09
157429,Kilindoni,TZ,1597379664,-7.91,39.67,76.21,71,7,11.83
3652764,Puerto Ayora,EC,1597379653,-0.74,-90.35,66.99,98,88,3.0
1006984,East London,ZA,1597379649,-33.02,27.91,48.2,66,0,5.82
1106677,Bambous Virieux,MU,1597379660,-20.34,57.76,73.0,83,40,5.82
80509,Al Bardīyah,LY,1597380073,31.76,25.09,77.86,78,0,14.05
1267390,Kavaratti,IN,1597380073,10.57,72.64,84.2,74,40,6.93
1486321,Yar-Sale,RU,1597380073,66.83,70.83,55.33,57,95,10.94
110690,Faya,SA,1597379687,18.39,42.45,69.8,68,30,6.02
3466165,Cidreira,BR,1597380055,-30.18,-50.21,58.59,95,74,4.83
5563839,Fortuna,US,1597379957,40.6,-124.16,55.99,81,1,1.79
2022572,Khatanga,RU,1597379672,71.97,102.5,61.09,41,0,16.08
3883457,Lebu,CL,1597379673,-37.62,-73.65,48.22,85,98,16.53
2112802,Hasaki,JP,1597379665,35.73,140.83,98.01,55,40,10.29
1651591,Amahai,ID,1597379669,-3.33,128.92,80.53,73,90,7.11
4031637,Lavrentiya,RU,1597380044,65.58,-171.0,54.05,63,93,8.66
4021858,Guerrero Negro,MX,1597379677,27.98,-114.06,72.18,64,0,13.76
6201424,Mataura,NZ,1597379651,-46.19,168.86,48.99,61,0,1.99
2110227,Butaritari,KI,1597379647,3.07,172.79,82.99,63,18,2.21
3985710,Cabo San Lucas,MX,1597379554,22.89,-109.91,84.99,79,1,4.0
4032369,Pangai,TO,1597379715,-19.8,-174.35,80.6,69,40,2.24
2206939,Bluff,NZ,1597379652,-46.6,168.33,48.99,61,0,1.99
2017155,Saskylakh,RU,1597379655,71.92,114.08,53.4,50,38,7.2
4020109,Atuona,PF,1597380059,-9.8,-139.03,78.1,78,31,21.47
2134814,Sola,VU,1597380075,-13.88,167.55,79.02,82,2,19.22
1806445,Ji’an,CN,1597380075,27.12,114.98,94.28,51,43,11.45
2112309,Katsuura,JP,1597379678,35.13,140.3,98.01,70,20,5.82
779330,Kautokeino,NO,1597380075,69.01,23.04,53.08,85,86,1.48
2037485,Erenhot,CN,1597379712,43.65,111.98,80.92,32,0,6.85
6690297,Saint-Leu,RE,1597379695,-21.15,55.28,73.0,53,20,6.93
3430863,Mar del Plata,AR,1597379480,-38.0,-57.56,46.99,93,0,3.36
1808857,Hanzhong,CN,1597380076,33.07,107.03,75.04,91,100,2.77
608270,Shubarshi,KZ,1597380076,48.59,57.19,72.97,56,88,15.57
2070998,Geraldton,AU,1597380074,-28.77,114.6,66.2,63,75,8.05
964432,Port Alfred,ZA,1597379665,-33.59,26.89,51.4,74,0,5.28
2729907,Longyearbyen,SJ,1597379651,78.22,15.64,48.2,81,75,11.41
515805,Oktyabr'skoye,RU,1597380076,43.06,44.74,66.0,93,63,6.71
